
2024/05/05 (13:47:47) | INFO: Running on /dev/pts/0
2024/05/05 (13:47:47) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/05 (13:47:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/05 (13:47:47) | DEBUG: Shared::init() : Initialized.
2024/05/05 (13:47:47) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/05 (13:48:50) | DEBUG: Writing new config file
2024/05/05 (13:48:50) | INFO: Quitting! Runtime: 00:01:03

2024/05/05 (13:59:30) | ===> btop++ v.1.3.2
2024/05/05 (13:59:30) | INFO: Logger set to DEBUG
2024/05/05 (13:59:30) | DEBUG: Using locale C.UTF-8
2024/05/05 (13:59:30) | INFO: Running on /dev/pts/1
2024/05/05 (13:59:30) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/05 (13:59:30) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/05 (13:59:30) | DEBUG: Shared::init() : Initialized.
2024/05/05 (13:59:30) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/05 (13:59:42) | INFO: Quitting! Runtime: 00:00:12

2024/05/05 (14:00:00) | ===> btop++ v.1.3.2
2024/05/05 (14:00:00) | INFO: Logger set to DEBUG
2024/05/05 (14:00:00) | DEBUG: Using locale C.UTF-8
2024/05/05 (14:00:00) | INFO: Running on /dev/pts/1
2024/05/05 (14:00:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/05 (14:00:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/05 (14:00:00) | DEBUG: Shared::init() : Initialized.
2024/05/05 (14:00:00) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/05 (14:01:54) | INFO: Quitting! Runtime: 00:01:54

2024/05/09 (19:14:55) | ===> btop++ v.1.3.2
2024/05/09 (19:14:55) | INFO: Logger set to DEBUG
2024/05/09 (19:14:55) | DEBUG: Using locale C.UTF-8
2024/05/09 (19:14:55) | INFO: Running on /dev/pts/0
2024/05/09 (19:14:55) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/09 (19:14:55) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/09 (19:14:55) | DEBUG: Shared::init() : Initialized.
2024/05/09 (19:14:55) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/09 (19:15:21) | INFO: Quitting! Runtime: 00:00:26

2024/05/09 (19:15:22) | ===> btop++ v.1.3.2
2024/05/09 (19:15:22) | INFO: Logger set to DEBUG
2024/05/09 (19:15:22) | DEBUG: Using locale C.UTF-8
2024/05/09 (19:15:22) | INFO: Running on /dev/pts/0
2024/05/09 (19:15:22) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/09 (19:15:22) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/09 (19:15:22) | DEBUG: Shared::init() : Initialized.
2024/05/09 (19:15:22) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme

2024/05/10 (21:46:07) | ===> btop++ v.1.3.2
2024/05/10 (21:46:07) | INFO: Logger set to DEBUG
2024/05/10 (21:46:07) | DEBUG: Using locale C.UTF-8
2024/05/10 (21:46:07) | INFO: Running on /dev/pts/0
2024/05/10 (21:46:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/10 (21:46:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/10 (21:46:07) | DEBUG: Shared::init() : Initialized.
2024/05/10 (21:46:07) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/10 (21:47:00) | DEBUG: Writing new config file
2024/05/10 (21:47:00) | INFO: Quitting! Runtime: 00:00:53

2024/05/11 (22:07:27) | ===> btop++ v.1.3.2
2024/05/11 (22:07:27) | INFO: Logger set to DEBUG
2024/05/11 (22:07:27) | DEBUG: Using locale C.UTF-8
2024/05/11 (22:07:27) | INFO: Running on /dev/pts/1
2024/05/11 (22:07:27) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/11 (22:07:27) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/11 (22:07:27) | DEBUG: Shared::init() : Initialized.
2024/05/11 (22:07:27) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/11 (22:07:34) | INFO: Quitting! Runtime: 00:00:07

2024/05/16 (18:59:07) | ===> btop++ v.1.3.2
2024/05/16 (18:59:07) | INFO: Logger set to DEBUG
2024/05/16 (18:59:07) | DEBUG: Using locale C.UTF-8
2024/05/16 (18:59:07) | INFO: Running on /dev/pts/0
2024/05/16 (18:59:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/16 (18:59:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/16 (18:59:07) | DEBUG: Shared::init() : Initialized.
2024/05/16 (18:59:07) | DEBUG: Loading theme file: /home/michaelkik/.config/btop/themes/catppuccin_mocha.theme
2024/05/16 (18:59:17) | INFO: Quitting! Runtime: 00:00:10

2024/05/18 (21:23:01) | ===> btop++ v.1.3.2
2024/05/18 (21:23:01) | INFO: Logger set to DEBUG
2024/05/18 (21:23:01) | DEBUG: Using locale C.UTF-8
2024/05/18 (21:23:01) | INFO: Running on /dev/pts/0
2024/05/18 (21:23:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
